Wandb initialized. Project: exploration-marl
[DEBUG] Initialized episode trackers for 1 environments
[DEBUG] Env 0: reward=0.7288450598716736, accumulated=24.281803131103516, done=False
[DEBUG _on_step] timestep=43, rewards=[0.72884506], dones=[False]
[DEBUG] Env 0: reward=0.7288450598716736, accumulated=25.010648727416992, done=False
[DEBUG _on_step] timestep=44, rewards=[0.71977687], dones=[False]
[DEBUG] Env 0: reward=0.7197768688201904, accumulated=25.730424880981445, done=False
[DEBUG _on_step] timestep=45, rewards=[0.72884506], dones=[False]
[DEBUG] Env 0: reward=0.7288450598716736, accumulated=26.459270477294922, done=False
[DEBUG _on_step] timestep=46, rewards=[0.71977687], dones=[False]
[DEBUG] Env 0: reward=0.7197768688201904, accumulated=27.179046630859375, done=False
[DEBUG _on_step] timestep=47, rewards=[0.71977687], dones=[False]
[DEBUG] Env 0: reward=0.7197768688201904, accumulated=27.898822784423828, done=False
[DEBUG _on_step] timestep=48, rewards=[0.71977687], dones=[False]
[DEBUG] Env 0: reward=0.7197768688201904, accumulated=28.61859893798828, done=False
[DEBUG _on_step] timestep=49, rewards=[0.72884506], dones=[False]
[DEBUG] Env 0: reward=0.7288450598716736, accumulated=29.347444534301758, done=False
[DEBUG _on_step] timestep=50, rewards=[0.72884506], dones=[False]
[DEBUG] Env 0: reward=0.7288450598716736, accumulated=30.076290130615234, done=False
[DEBUG _on_step] timestep=51, rewards=[0.72884506], dones=[False]
[DEBUG] Env 0: reward=0.7288450598716736, accumulated=30.80513572692871, done=False
[DEBUG _on_step] timestep=52, rewards=[0.67902493], dones=[False]
[DEBUG] Env 0: reward=0.6790249347686768, accumulated=31.484161376953125, done=False
[DEBUG _on_step] timestep=53, rewards=[0.67902493], dones=[False]
[DEBUG] Env 0: reward=0.6790249347686768, accumulated=32.163185119628906, done=False
[DEBUG _on_step] timestep=54, rewards=[0.67902493], dones=[False]
[DEBUG] Env 0: reward=0.6790249347686768, accumulated=32.84220886230469, done=False
[DEBUG _on_step] timestep=55, rewards=[0.6713284], dones=[False]
[DEBUG] Env 0: reward=0.6713284254074097, accumulated=33.5135383605957, done=False
[DEBUG _on_step] timestep=56, rewards=[0.71977687], dones=[False]
[DEBUG] Env 0: reward=0.7197768688201904, accumulated=34.233314514160156, done=False
[DEBUG _on_step] timestep=57, rewards=[0.71977687], dones=[False]
[DEBUG] Env 0: reward=0.7197768688201904, accumulated=34.95309066772461, done=False
[DEBUG _on_step] timestep=58, rewards=[0.7675672], dones=[False]
[DEBUG] Env 0: reward=0.7675672173500061, accumulated=35.72065734863281, done=False
[DEBUG _on_step] timestep=59, rewards=[0.814191], dones=[False]
[DEBUG] Env 0: reward=0.8141909837722778, accumulated=36.534847259521484, done=False
[DEBUG _on_step] timestep=60, rewards=[0.8584903], dones=[False]
[DEBUG] Env 0: reward=0.8584902882575989, accumulated=37.39333724975586, done=False
[DEBUG _on_step] timestep=61, rewards=[0.8584903], dones=[False]
[DEBUG] Env 0: reward=0.8584902882575989, accumulated=38.251827239990234, done=False
[DEBUG _on_step] timestep=62, rewards=[0.8584903], dones=[False]
[DEBUG] Env 0: reward=0.8584902882575989, accumulated=39.11031723022461, done=False
[DEBUG _on_step] timestep=63, rewards=[0.8584903], dones=[False]
[DEBUG] Env 0: reward=0.8584902882575989, accumulated=39.968807220458984, done=False
[DEBUG _on_step] timestep=64, rewards=[0.8774235], dones=[False]
[DEBUG] Env 0: reward=0.8774235248565674, accumulated=40.846229553222656, done=False
[DEBUG _on_step] timestep=65, rewards=[0.92566967], dones=[False]
[DEBUG] Env 0: reward=0.9256696701049805, accumulated=41.77190017700195, done=False
[DEBUG _on_step] timestep=66, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=42.669307708740234, done=False
[DEBUG _on_step] timestep=67, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=43.566715240478516, done=False
[DEBUG _on_step] timestep=68, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=44.4641227722168, done=False
[DEBUG _on_step] timestep=69, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=45.38650131225586, done=False
[DEBUG _on_step] timestep=70, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=46.30887985229492, done=False
[DEBUG _on_step] timestep=71, rewards=[0.9679844], dones=[False]
[DEBUG] Env 0: reward=0.9679843783378601, accumulated=47.27686309814453, done=False
[DEBUG _on_step] timestep=72, rewards=[0.9679844], dones=[False]
[DEBUG] Env 0: reward=0.9679843783378601, accumulated=48.24484634399414, done=False
[DEBUG _on_step] timestep=73, rewards=[0.9679844], dones=[False]
[DEBUG] Env 0: reward=0.9679843783378601, accumulated=49.21282958984375, done=False
[DEBUG _on_step] timestep=74, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=50.13520812988281, done=False
[DEBUG _on_step] timestep=75, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=51.057586669921875, done=False
[DEBUG _on_step] timestep=76, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=51.97996520996094, done=False
[DEBUG _on_step] timestep=77, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=52.87737274169922, done=False
[DEBUG _on_step] timestep=78, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=53.79975128173828, done=False
[DEBUG _on_step] timestep=79, rewards=[0.9679844], dones=[False]
[DEBUG] Env 0: reward=0.9679843783378601, accumulated=54.76773452758789, done=False
[DEBUG _on_step] timestep=80, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=55.69011306762695, done=False
[DEBUG _on_step] timestep=81, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=56.612491607666016, done=False
[DEBUG _on_step] timestep=82, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=57.53487014770508, done=False
